Gallery of just intervals
See also list of superparticular intervals and List of intervals (Huygens-Fokker foundation)

If any FJS names are missing, please add them.

Frequency Ratio	Cents Value
(six decimal places)	Color Name	FJS Name	Some common names
1/1	0	w1, wa unison	P1	unity, perfect prime, Tonic, unison
32805/32768	1.953721	Ly-2, Layo comma	d-25	schisma ([-15, 8, 1⟩)
256/255	6.775876	17ug1, Sugu comma	P185	charisma, charic comma, septendecimal kleisma
225/224	7.711523	ryy-2, Ruyoyo comma	d-2257	septimal kleisma, marvel comma ([-5, 2, 2, -1⟩)
126/125	13.794767	zg32, Zotrigu comma	d27125	septimal semicomma, starling comma ([1, 2, -3, 1⟩)
100/99	17.399484	1uyy1, Luyoyo comma	A12511	Ptolemy's comma, ptolemisma
99/98	17.576131	1orr-2, Loruru comma	m-21149	mothwellsma
2048/2025	19.552569	sgg2, Sagugu comma	d225	diaschisma ([11, -4, -2⟩)
81/80	21.506286	g1, Gu comma	P15	meantone comma, syntonic comma, Didymus comma
531441/524288	23.460010	LLw-2, Lalawa comma	d-2	Pythagorean comma, ditonic comma ([-19, 12⟩)
66/65	26.431568	3u1og1, Thulogu comma	P11165	winmeanma
65/64	26.841376	3oy1, Thoyo comma	P165	wilsorma, 13th-partial chroma
64/63	27.264092	r1, Ru comma	P17	septimal comma, Archytas' comma
3125/3072	29.613568	Ly5-2, Laquinyo comma	dd-23125	magic comma, small diesis ([-10, -1, 5⟩)
50/49	34.975615	rryy-2, Biruyo comma	d-22549	small septimal diesis, small septimal sixth-tone, septimal tritonic diesis, jubilisma
49/48	35.696812	zz2, Zozo comma	m249	large septimal diesis, large septimal sixth-tone, slendro diesis, semaphoresma
45/44	38.905773	1uy1, Luyo comma	A1511	undecimal 1/5 tone
128/125	41.058858	g32, Trigu comma	d2125	diesis, minor diesis, augmented comma, enharmonic comma ([7, 0, -3⟩)
525/512	43.408335	Lzyy1, Lazoyoyo comma	A1175	Avicenna's enharmonic diesis, avicennma ([-9, 1, 2, 1⟩)
1053/1024	48.347665	L3o1, Latho comma	P113	tridecimal quartertone, tridecimal flattone comma
36/35	48.770381	rg1, Rugu comma	P135	septimal quarter tone, double comma
250/243	49.166137	y31, Triyo comma	A1125	porcupine comma ([1, -5, 3⟩)
59049/57344	50.724102	Lr-2, Laru comma	d-27	Harrison's comma ([-13, 10, 0, -1⟩)
100/97	52.732017	97uyy1, ninety-suyoyo unison	A12597	shrutar quarter tone
33/32	53.272943	1o1, ilo unison	P111	undecimal quarter tone, undecimal diesis, al-Farabi's 1/4-tone, octave-reduced 33rd harmonic
648/625	62.565148	g42, quadgu 2nd	d2625	diminished comma, major diesis ([8, 4, -4⟩)
28/27	62.960904	z2, zo 2nd	m27	small septimal chroma, septimal third-tone, subminor second, septimal minor second
27/26	65.337341	3u1, thu unison	A113	small tridecimal third tone
26/25	67.900234	3ogg2, thogugu 2nd	d21325	large tridecimal third tone
25/24	70.672427	yy1, yoyo unison	A125	chroma, classic chromatic semitone, Zarlinian semitone
24/23	73.680654	23u1, twethu unison	m223	lesser vicesimotertial semitone
23/22	76.956405	23o1u2, twetholu 2nd	A12311	greater vicesimotertial semitone
68/65	78.114034	17o3ug2, sothugu 2nd	m21765	valentine semitone
22/21	80.537035	1or1, loru unison	P1117	undecimal minor semitone
64/61	83.115195	61u2, siwu 2nd	m261	harry minor semitone
21/20	84.467193	zg2, zogu 2nd	m275	minor semitone, large septimal chroma
20/19	88.800698	19uy1, nuyo unison	A1519	small undevicesimal semitone, undevicesimal chroma, Eratosthenes' semitone
256/243	90.224996	sw2, sawa 2nd	m2	Pythagorean limma, Pythagorean diatonic semitone, Pythagorean minor second ([8, -5⟩)
135/128	92.178716	Ly1, layo unison	A15	major limma ([-7, 3, 1⟩)
19/18	93.603014	19o2, ino 2nd	m219	large undevicesimal semitone, undevicesimal limma, Boethius' semitone
18/17	98.954592	17u1, su unison	A117	small septendecimal semitone, Arabic lute index finger
17/16	104.955410	17o2, iso 2nd	m217	large septendecimal semitone, octave-reduced 17th harmonic
16/15	111.731285	g2, gu 2nd	m25	classic diatonic semitone, classic minor second, octave-reduced 15th subharmonic
2187/2048	113.685006	Lw1, lawa unison	A1	apotome, Pythagorean chromatic semitone, Pythagorean augmented unison ([-11, 7⟩)
77/72	116.233847	1oz2, lozo 2nd	m277	undecimal secor
15/14	119.442808	ry1, ruyo unison	A157	septimal diatonic semitone
14/13	128.298245	3uz2, thuzo 2nd	M2713	tridecimal 2/3-tone, trienthird, tridecimal supraminor second
27/25	133.237575	gg2, gugu 2nd	m225	large limma
13/12	138.572661	3o2, tho 2nd	m213	tridecimal neutral second, tridecimal 2/3-tone
243/224	140.949098	Lr1, laru unison	A17	septimal subtone ([-5, 5, 0, -1⟩)
88/81	143.497939	1o2, ilo 2nd	m211	undecimal subtone
25/23	144.353081	23uyy1, twethuyoyo unison	M25,523	small vicesimotertial neutral second
49/45	147.428097	zzg3, zozogu 3rd	d3495	swetismic neutral second
12/11	150.637059	1u2, lu 2nd	M211	small undecimal neutral second, 3/4-tone
35/32	155.139620	zy2, zoyo 2nd	M235	septimal neutral second
23/21	157.493440	23or2, twethoru 2nd	A1237	large vicesimotertial neutral second
78/71	162.786119	71u3o2, seventy-wutho 2nd	m21371	porcupine neutral second
11/10	165.004228	1og2, logu 2nd	m2115	undecimal submajor second, large undecimal neutral second, 4/5-tone, Ptolemy's second
54/49	168.213190	rr1, ruru unison	A149	Zalzal's mujannab
21/19	173.267891	19uz2, nuzo 2nd	M2719	large neutral undevicesimal second
10/9	182.403712	y2, yo 2nd	M25	classic (whole) tone, minor (whole) tone
49/44	186.333871	1uzz3, luzozo 3rd	m34911	mothwellsmic major second
39/35	187.343042	3org2, thorugu 2nd	m21335	animist major second
6272/5625	188.486956	szzg44, sabizogugu 4th	ddd449625	double marvelous second, double marvelous (whole) tone
19/17	192.557607	19o17u2, nosu 2nd	M21917	quasi-meantone
28/25	196.198479	zgg3, zogugu 3rd	d3725	middle major second
55/49	199.979843	1orry1, loruruyo unison	A15549	werckismic tone
64/57	200.531983	19u2, inu 2nd	M219	quasi-tempered whole tone, octave-reduced 57th subharmonic
9/8	203.910002	w2, wa 2nd	M2	Pythagorean (whole) tone, major (whole) tone, octave-reduced 9th harmonic
26/23	212.253315	23u3o2, twethutho 2nd	d31323	vicesimotertial whole tone
17/15	216.686695	17og3, sogu 3rd	d3175	septendecimal whole tone, septendecimal eventone
25/22	221.309485	1uyy2, luyoyo 2nd	A22511	ptolemismic whole tone, undecimal acute whole tone
729/640	225.416291	Lg2, lagu 2nd	M25	acute whole tone
57/50	226.840589	19ogg3, nogugu 3rd	d31925	devichromic supermajor second
8/7	231.174094	r2, ru 2nd	M27	supermajor second, septimal whole tone, octave-reduced 7th subharmonic
63/55	235.104252	1uzg3, luzogu 3rd	m3755	werckismic supermajor second
55/48	235.676655	1oy2, loyo 2nd	M255	keenanismic supermajor second
224/195	240.029530	3uzg3, thuzogu 3rd	m3765	quasi-tempered 1/5-octave, "5EDO"-esque tone
23/20	241.960633	23og3, twethogu 3rd	M2235	vicesimotertial inframinor third, vicesimotertial ultramajor second, vicesimotertial semifourth
15/13	247.741053	3uy2, thuyo 2nd	A2513	tridecimal semifourth, tridecimal ultramajor second, tridecimal inframinor third
97/84	249.114503	97or2, ninety-soru 2nd	M2977	homothetic semifourth
81/70	252.268038	rg2, rugu 2nd	M235	septimal semi-augmented second, septimal ultramajor second
22/19	253.804926	19u1o2, nulo 2nd	M21119	undevicesimal semifourth, minimal minor third, godzilla semifourth
64/55	262.368344	1ug3, lugu 3rd	m355	keenanismic subminor third, octave-reduced 55th subharmonic
7/6	266.870906	z3, zo 3rd	m37	subminor third, septimal minor third
90/77	270.079867	1ury2, luruyo 2nd	A2577	swetismic subminor third
62/53	271.531027	53u31o2, fithu-thiwo 2nd	M23153	orwell subminor third
75/64	274.582429	yy2, yoyo 2nd	A225	classic augmented second
27/23	277.590655	twethu 2nd, 23u2	m323	vicesimotertial augmented second
20/17	281.358304	17uy2, suyo 2nd	A2517	septendecimal augmented second, septendecimal minor third, diatismic minor third
13/11	289.209719	3o1u3, tholu 3rd	m31311	tridecimal minor third
45/38	292.710699	19uy2, nuyo 2nd	A2519	Eratosthenes' minor third
32/27	294.134997	w3, wa 3rd	m3	Pythagorean minor third, octave-reduced 27th subharmonic
19/16	297.513016	19o3, ino 3rd	m319	otonal minor third, octave-reduced 19th harmonic
289/243	300.135815	17oo4, soso 4th	dd417, 17	semitonismic quasi-tempered minor third
25/21	301.846520	ryy2, ruyoyo 2nd	A2257	quasi-tempered minor third
61/51	309.974395	61o17u2, siwosu 2nd	A26117	myna third
6/5	315.641287	g3, gu 3rd	m35	classic minor third, just minor third
77/64	320.143849	1oz3, lozo 3rd	m377	keenanismic minor third, octave-reduced 77th harmonic
135/112	323.352810	ry2, ruyo 2nd	A257	large septimal minor third, marvelous minor third ([-4, 3, 1, -1⟩)
